review_id,sku_id,rating,review_text,images_attached,review_date
REV0001,WE-TABLE-88,3,Great quality!,False,2025-10-31
REV0002,WE-LAMP-07,3,Great quality!,False,2025-11-27
REV0003,WE-TBL-04,2,wobble on one leg,True,2026-03-02
REV0004,WE-TBL-04,4,Fast delivery and beautiful product.,False,2025-11-09
REV0005,WE-MIRROR-3,3,Exactly as described.,False,2026-03-04
REV0006,WE-SOFA-22,3,Exactly as described.,True,2025-12-10
REV0007,WE-MIRROR-3,4,Exactly as described.,True,2025-12-29
REV0008,WE-RUG-99,2,love the rug but colour is very orange,True,2025-12-08
REV0009,WE-RUG-99,4,Love this piece.,False,2025-11-04
REV0010,WE-RUG-99,4,Love this piece.,True,2026-03-23
REV0011,WE-DESK-11,4,Great quality!,True,2025-10-21
REV0012,WE-LAMP-07,3,Fast delivery and beautiful product.,False,2026-01-11
REV0013,WE-CHAIR-05,3,Great quality!,False,2026-02-26
REV0014,WE-BED-33,4,Fast delivery and beautiful product.,False,2026-03-04
REV0015,WE-SHELF-14,5,Love this piece.,False,2026-01-05
REV0016,WE-SOFA-22,4,Great quality!,True,2026-03-28
REV0017,WE-CHAIR-05,5,Exactly as described.,True,2026-01-13
REV0018,WE-TABLE-88,2,looks grey not warm brown as shown,True,2026-01-16
REV0019,WE-CHAIR-05,3,Exactly as described.,False,2025-12-08
REV0020,WE-MIRROR-3,3,Love this piece.,False,2025-10-14
REV0021,WE-BENCH-21,5,Great quality!,False,2026-02-26
REV0022,WE-TBL-04,3,Exactly as described.,True,2025-10-14
REV0023,WE-MIRROR-3,4,Great quality!,True,2026-01-01
REV0024,WE-BENCH-21,5,Exactly as described.,False,2025-10-24
REV0025,WE-BED-33,4,Fast delivery and beautiful product.,True,2026-01-03
REV0026,WE-RUG-99,3,Great quality!,False,2025-12-07
REV0027,WE-MIRROR-3,3,Fast delivery and beautiful product.,False,2026-04-05
REV0028,WE-TBL-04,3,Love this piece.,False,2026-01-22
REV0029,WE-BED-33,2,bed is stunning but very large,False,2025-11-01
REV0030,WE-DESK-11,4,Love this piece.,False,2026-01-30
REV0031,WE-TBL-04,2,Great quality!,False,2026-01-29
REV0032,WE-CHAIR-05,2,finish looks different than photo,False,2026-03-06
REV0033,WE-TABLE-88,2,colour is not what I expected,False,2026-02-08
REV0034,WE-MIRROR-3,3,Love this piece.,False,2026-01-21
REV0035,WE-MIRROR-3,3,Love this piece.,False,2026-03-06
REV0036,WE-MIRROR-3,5,Love this piece.,True,2026-01-21
REV0037,WE-RUG-99,4,Love this piece.,False,2025-11-17
REV0038,WE-SOFA-22,3,Exactly as described.,True,2025-11-19
REV0039,WE-RUG-99,4,Exactly as described.,True,2026-04-03
REV0040,WE-BED-33,3,Fast delivery and beautiful product.,False,2026-01-23
REV0041,WE-SHELF-14,3,Exactly as described.,True,2026-02-21
REV0042,WE-TABLE-88,1,colour is not what I expected,False,2025-11-04
REV0043,WE-DESK-11,3,Love this piece.,True,2025-10-17
REV0044,WE-TBL-04,2,wobble on one leg,False,2026-03-07
REV0045,WE-RUG-99,4,Exactly as described.,True,2026-01-01
REV0046,WE-SHELF-14,3,Fast delivery and beautiful product.,True,2026-02-28
REV0047,WE-CHAIR-05,3,Great quality!,False,2025-12-26
REV0048,WE-CHAIR-05,4,Love this piece.,True,2026-03-25
REV0049,WE-SOFA-22,5,Fast delivery and beautiful product.,False,2026-01-17
REV0050,WE-SHELF-14,2,Fast delivery and beautiful product.,False,2026-03-31
