return_id,order_id,sku_id,return_reason,return_note,return_condition,return_date,days_to_return,city,state,region,zip_code,cost_of_return
R0001,ORD98696,WE-BENCH-21,no_longer_needed,cancelled renovation project,like_new,2026-03-03,7.0,Boston,MA,East,2101.0,179.05
R0002,ORD36062,WE-TBL-04,does_not_match_description,The finish on this table looks much darker in person than the catalog photo. The wood grain is not as vibrant.,defective,2026-04-30,36.0,Denver,CO,West,80202.0,142.04
R0003,ORD54597,WE-MIRROR-3,defective_or_damaged,frame had minor dent,damaged,2025-11-01,28.0,San Francisco,CA,West,94102.0,135.55
R0004,ORD15695,WE-BED-33,wrong_size,didn't fit through door,defective,2025-11-14,17.0,Seattle,WA,West,98101.0,173.62
R0005,ORD35203,WE-LAMP-07,no_longer_needed,cheap lamp not worth return shipping,like_new,2026-02-04,37.0,Atlanta,GA,East,30301.0,124.58
R0006,ORD93320,WE-CHAIR-05,does_not_match_description,ordered by mistake,damaged,2026-02-18,30.0,Nashville,TN,South,37201.0,136.27
R0007,ORD32431,WE-BED-33,wrong_size,didn't fit through door,open_box,2025-12-07,41.0,Los Angeles,CA,West,90001.0,136.34
R0008,ORD17331,WE-LAMP-07,no_longer_needed,"arrived broken, not worth fixing",open_box,2025-10-28,21.0,Boston,MA,East,2101.0,202.18
R0009,ORD37869,WE-BED-33,wrong_size,headboard too tall,defective,2025-10-20,21.0,Denver,CO,West,80202.0,159.56
R0010,ORD86622,WE-BENCH-21,no_longer_needed,moved house,defective,2025-12-01,17.0,Atlanta,GA,East,30301.0,209.78
R0011,ORD30033,WE-LAMP-07,no_longer_needed,changed my mind on the style,open_box,2026-03-27,8.0,New York,NY,East,10001.0,199.21
R0012,ORD82512,WE-LAMP-07,no_longer_needed,cheap lamp not worth return shipping,like_new,2025-12-03,17.0,Miami,FL,East,33101.0,188.03
R0013,ORD66985,WE-TABLE-88,does_not_match_description,warmer in the photo than in person,open_box,2026-03-22,19.0,Seattle,WA,West,98101.0,165.37
R0014,ORD89818,WE-DESK-11,wrong_size,changed my mind,open_box,2025-11-21,33.0,Detroit,MI,North,48201.0,135.28
R0015,ORD12552,WE-SOFA-22,wrong_size,sofa is huge compared to the listing,like_new,2026-02-09,32.0,Atlanta,GA,East,30301.0,212.91
R0016,ORD19071,WE-DESK-11,defective_or_damaged,wobbly leg,open_box,2026-04-11,32.0,Chicago,IL,North,60601.0,132.84
R0017,ORD80686,WE-SHELF-14,wrong_size,colour slightly different,open_box,2025-12-27,14.0,Charlotte,NC,South,28201.0,191.29
R0018,ORD39451,WE-LAMP-07,defective_or_damaged,size not right,like_new,2026-03-17,16.0,Miami,FL,East,33101.0,153.81
R0019,ORD53309,WE-MIRROR-3,no_longer_needed,cancelled event,like_new,2026-03-17,3.0,San Francisco,CA,West,94102.0,171.42
R0020,ORD41850,WE-DESK-11,defective_or_damaged,wobbly leg,defective,2025-12-05,31.0,Columbus,OH,North,43201.0,200.75
R0021,ORD98259,WE-CHAIR-05,does_not_match_description,finish looks cheap not antique,like_new,2025-12-06,4.0,Nashville,TN,South,37201.0,126.06
R0022,ORD65296,WE-BED-33,does_not_match_description,ordered by mistake,open_box,2025-12-16,9.0,Denver,CO,West,80202.0,147.85
R0023,ORD95477,WE-CHAIR-05,does_not_match_description,size not right,like_new,2026-03-10,4.0,Charlotte,NC,South,28201.0,216.9
R0024,ORD59672,WE-CHAIR-05,does_not_match_description,finish looks cheap not antique,like_new,2026-03-27,11.0,Nashville,TN,South,37201.0,218.53
R0025,ORD30289,WE-DESK-11,no_longer_needed,colour slightly different,open_box,2025-11-14,32.0,Columbus,OH,North,43201.0,149.67
R0026,ORD72493,WE-TBL-04,defective_or_damaged,"Table arrived, leg snapped when I stood it up",open_box,2026-04-26,38.0,Los Angeles,CA,West,90001.0,125.69
R0027,ORD84668,WE-RUG-99,no_longer_needed,cancelled event,open_box,2025-12-26,8.0,Minneapolis,MN,North,55401.0,177.89
R0028,ORD44179,WE-TBL-04,defective_or_damaged,surface scratch on top,open_box,2025-12-09,21.0,Denver,CO,West,80202.0,186.97
R0029,ORD19508,WE-BED-33,wrong_size,didn't fit through door,like_new,2025-12-25,21.0,Seattle,WA,West,98101.0,165.83
R0030,ORD42018,WE-MIRROR-3,does_not_match_description,ordered by mistake,damaged,2026-01-06,5.0,San Francisco,CA,West,94102.0,148.5
R0031,ORD23577,WE-SHELF-14,defective_or_damaged,changed my mind,open_box,2026-02-26,43.0,Charlotte,NC,South,28201.0,146.45
R0032,ORD36685,WE-TABLE-88,wrong_size,colour slightly different,damaged,2025-10-21,22.0,San Francisco,CA,West,94102.0,170.54
R0033,ORD53719,WE-DESK-11,does_not_match_description,changed my mind,open_box,2026-03-21,1.0,Detroit,MI,North,48201.0,183.71
R0034,ORD24663,WE-DESK-11,defective_or_damaged,drawer doesn't close smoothly,like_new,2025-11-09,1.0,Milwaukee,WI,North,53202.0,214.51
R0035,ORD15482,WE-SOFA-22,wrong_size,much larger than expected,damaged,2025-12-20,9.0,Boston,MA,East,2101.0,156.47
R0036,ORD91351,WE-TBL-04,wrong_size,ordered by mistake,open_box,2025-12-05,27.0,Seattle,WA,West,98101.0,212.58
R0037,ORD44970,WE-CHAIR-05,no_longer_needed,moved house,open_box,2025-10-27,16.0,Nashville,TN,South,37201.0,198.74
R0038,ORD55830,WE-TABLE-88,does_not_match_description,colour looked different in real life,damaged,2026-03-10,30.0,San Francisco,CA,West,94102.0,202.05
R0039,ORD56025,WE-CHAIR-05,does_not_match_description,brass looks too yellow in person,defective,2026-04-01,18.0,Austin,TX,South,78701.0,187.95
R0040,ORD44795,WE-RUG-99,does_not_match_description,much more orange than terracotta,like_new,2026-03-24,38.0,Detroit,MI,North,48201.0,130.84
R0041,ORD85574,WE-LAMP-07,no_longer_needed,cheap lamp not worth return shipping,open_box,2026-03-27,25.0,Atlanta,GA,East,30301.0,145.47
R0042,ORD19171,WE-LAMP-07,no_longer_needed,"arrived broken, not worth fixing",damaged,2026-01-25,28.0,Boston,MA,East,2101.0,182.32
R0043,ORD48752,WE-BENCH-21,defective_or_damaged,colour slightly different,open_box,2026-02-01,45.0,Philadelphia,PA,East,19101.0,139.18
R0044,ORD37549,WE-BENCH-21,wrong_size,colour slightly different,defective,2026-02-01,19.0,New York,NY,East,10001.0,198.58
